,,,,,,,,,,,,,,,,,,,,,,,
,PROJECT IMPACT to PAIN POINTS ,,,,,,,,,,,,,,,,,Projects Statistics ,,,,,
,,,,,,,,,,,,,,,,,,Q1,Q2,Q3,Q4,Mean ,Std Dev
,Total Impact Points (2's and 3's),38,22,16,10,13,15,4,10,18,4,16,26,8,34,30,,10,16,24,38,17.60,10.49
,Percent Total Potential Impact Points ,63.3%,36.7%,26.7%,16.7%,21.7%,25.0%,6.7%,16.7%,30.0%,6.7%,26.7%,43.3%,13.3%,56.7%,50.0%,,,,,,,
,Percent 3's,40.0%,10.0%,0.0%,0.0%,15.0%,15.0%,0.0%,0.0%,10.0%,0.0%,0.0%,10.0%,0.0%,10.0%,10.0%,,,,,,,
,Percent 2's,35.0%,40.0%,40.0%,25.0%,10.0%,15.0%,10.0%,25.0%,30.0%,10.0%,40.0%,50.0%,20.0%,70.0%,60.0%,,,,,,,
,Z-Score,1.95,0.42,-0.15,-0.72,-0.44,-0.25,-1.30,-0.72,0.04,-1.30,-0.15,0.80,-0.92,1.56,1.18,,,,,,,
,Quartile,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,Pain Points,Global Change Framework ,Decision Rights and Governance,Intergrated Readiness Gates,Quality Compliance Integration,Role-Specific Notifications & Experience   ,Closed-Loop Feedback,Extended Enterprise Collaboration (Suppliers/Partners),Configuration & Variant Management Maturity,Seamless Propagation at Right Effectivity,Customer Feedback Integration,Early Warning & Monitoring,Real-Time Impact Visibility,Institutional Knowledge Reuse,Single Source of Truth (SSOT),Digital Thread Traceability,,Total Impact Points,Percent '3s',Percent '2s',Z Score,Quartile ,
,Groups manage change differently; lack of standardization increases errors,3,2,2,2,1,1,1,2,2,1,1,2,1,3,2,,26,13.3%,46.7%,1.29,Q4,
,Overreliance on weekly meetings & email to execute change,2,1,1,1,3,1,2,1,2,1,2,3,1,2,2,,25,13.3%,40.0%,0.96,Q4,
,Inconsistent process used due to pace; employees overwhelmed,3,2,2,1,2,2,1,1,2,1,2,2,1,2,2,,26,6.7%,60.0%,1.29,Q4,
,Wasted time/delays due to missed change notifications,1,1,1,1,3,1,1,1,1,1,2,2,1,2,2,,21,6.7%,26.7%,-0.34,Q3,
,Increased workload & churn in PD and plants fixing errors,2,1,2,2,2,2,1,2,2,1,2,2,2,2,2,,27,0.0%,80.0%,1.61,Q4,
,High scrap from incorrect parts/components and unused WIP,1,1,2,2,1,1,2,2,3,1,2,2,1,2,2,,25,6.7%,53.3%,0.96,Q4,
,Brand damage from shipping incorrect revisions,2,1,2,2,1,1,1,2,3,1,1,2,1,2,3,,25,13.3%,40.0%,0.96,Q4,
,Uni-directional design changes; no feedback confirmation from manufacturing,2,1,1,1,1,3,1,1,1,1,1,2,1,2,2,,21,6.7%,26.7%,-0.34,Q4,
,Metrics drive wrong behavior (hide issues vs. resolve),1,2,1,1,1,2,0,0,0,1,2,1,2,1,1,,16,0.0%,26.7%,-1.97,Q2,
,Lack of comprehensive design review with clear accountability,2,3,2,2,1,1,1,1,1,1,1,1,1,2,2,,22,6.7%,33.3%,-0.02,Q4,
,Hard to identify all evaluators/recipients for a change,2,2,1,1,3,1,1,1,1,1,1,3,1,2,2,,23,13.3%,26.7%,0.31,Q4,
,Scope of PD change process not clearly defined end-to-end,3,2,2,1,1,1,1,1,2,1,1,2,1,2,3,,24,13.3%,33.3%,0.64,Q4,
,PR (problem report) functionality not effectively leveraged,1,1,1,1,1,3,1,1,1,2,2,1,2,2,1,,21,6.7%,26.7%,-0.34,Q4,
,Change process not known/understood across Molex,3,2,1,1,1,1,1,1,1,1,1,1,1,2,2,,20,6.7%,20.0%,-0.67,Q3,
,Process interpreted/executed differently by groups/plants,3,2,1,1,1,1,1,2,1,1,1,2,1,3,2,,23,13.3%,26.7%,0.31,Q4,
,Local plant processes duplicate corporate process,3,1,1,1,1,1,1,1,1,1,1,2,1,2,1,,19,6.7%,13.3%,-0.99,Q3,
,Decision rights for approvals not known/consistent,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,,18,6.7%,6.7%,-1.32,Q3,
,Confusion on change mgmt needed pre- vs post-production,3,2,2,1,1,1,1,1,2,1,1,1,1,1,2,,21,6.7%,26.7%,-0.34,Q4,
,Different functions at different adoption levels,3,1,1,1,1,1,1,1,1,1,1,1,1,2,1,,18,6.7%,6.7%,-1.32,Q3,
,Lack of use of asynchronous feedback processes (PR),1,1,1,1,1,3,1,1,1,2,2,1,2,1,1,,20,6.7%,20.0%,-0.67,Q3,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Pain Point Statistics,,,,,
,,,,,,,,,,,,,,,,,,,,,Q1,20,
,,,,,,,,,,,,,,,,,,22.05,Mean,,Q2,21.5,
,,,,,,,,,,,,,,,,,,3.07,Std Dev,,Q3,25,
,,,,,,,,,,,,,,,,,,,,,Q4,27,