,,,,,,,,,,,,,,,,,
,PROJECT IMPACT INDEX - Percent of Total Potential Impact Points,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Current Projects and Demand,WGT,PCN Revamp,,,,,,,,,,,,,,
,Pain Points,40.0%,7%,,,,,,,,,,,,,,
,Capability Features,60.0%,70.4%,,,,,,,,,,,,,,
,Impact Index,100.0%,77%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Z-Score,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Future Projects,WGT,Global Change Framework ,Decision Rights and Governance,Intergrated Readiness Gates,Quality Compliance Integration,Role-Specific Notifications & Experience   ,Closed-Loop Feedback,Extended Enterprise Collaboration (Suppliers/Partners),Configuration & Variant Management Maturity,Seamless Propagation at Right Effectivity,Customer Feedback Integration,Early Warning & Monitoring,Real-Time Impact Visibility,Institutional Knowledge Reuse,Single Source of Truth (SSOT),Digital Thread Traceability
,Pain Points,40.0%,63.3%,36.7%,26.7%,16.7%,21.7%,25.0%,6.7%,16.7%,30.0%,6.7%,26.7%,43.3%,13.3%,56.7%,50.0%
,Capability Features,60.0%,86.7%,80.0%,70.0%,63.3%,53.3%,36.7%,36.7%,20.0%,50.0%,30.0%,30.0%,70.0%,26.7%,80.0%,76.7%
,Impact Index,100.0%,75.0%,58.3%,48.3%,40.0%,37.5%,30.8%,21.7%,18.3%,40.0%,18.3%,28.3%,56.7%,20.0%,68.3%,63.3%
,,,,,,,,,,,,,,,,,
,Z-Score,,1.71,0.77,0.21,-0.25,-0.39,-0.77,-1.28,-1.47,-0.25,-1.47,-0.91,0.68,-1.37,1.33,1.05